Collection Title,Institution,Library,Type of Library,Lanuages,General Format,Specific Formats,Academic Field,Subjects,Keywords,URL,Start Year,End Year,Year Range,Description,Address,Latitude,Longitude
"Chinese in California, 1850-1925","University of California, Berkeley",Bancroft Library and Ethnic Studies Library,Academic,"English, Chinese",Image,"Book, Pamphlet, Print, Photograph, Manuscript, Sheet Music ",Chinese Overseas,History,Chinese American,https://bancroft.berkeley.edu/collections/chineseinca/,1850,1925,1850-1925,The materials proposed for digitization reflected a broad range of formats and topics illustrating the complex history of the Chinese/Chinese American experience in California.,"Alameda County, California, 94720-1076, United States of America",37.8735334,-122.2626667
Chinese Stone Rubbings Collection,"University of California, Berkeley",East Asian Library,Academic,Chinese,Image,"Rubbing, Calligraphy",Art,"History, Culture, Literature",Writing Forms ,http://www.lib.berkeley.edu/EAL/stone/,-100,1899,-100-1899,"The nucleus of the collection is over 1,500 items. The library's holdings are especially rich in albums of models of calligraphy (fa-tieh) and bronze inscriptions, but monumental inscriptions on stone are also well represented. About half of the inscriptions date from before the year 1000. A few of the rubbings range in size from one or two inches to up to forty feet in length.","Alameda County, California, 94720-1076, United States of America",37.8735334,-122.2626667
Tom Leung Collection,"University of California, Los Angelas",Richard C. Rudolph East Asian Library,Academic,Chinese,Image,Letter,History,"Personal Life, Political History",Royal Society,http://digital2.library.ucla.edu/viewItem.do?ark=21198/zz002311s5,1898,1928,1898-1928,"The Tom Leung Archival Collection of the Chinese Royal Society in the Early Twentieth Century was a private archival collection of Dr. Tom Leung, which contains about three hundred letters related to the activities of the Royal Society in North America. The archival collection includes over ten letters of Kang Youwei and Liang Qichao, written during the Royal Society movement in early twentieth century. Dr. Tom Leung, a student and supporter of Kang Youwei, was the head of the Royal Society in North America, and this collection was donated by Louise Leung Larson, the daughter of Dr. Tom Leung. This online collection makes it possible for researchers to access these important letters for the study of early modern Chinese history.","Westholme Avenue, Westwood, Los Angeles, Los Angeles County, California, 90095, United States of America",34.07087766,-118.44685
Han Yu-shan Collection,"University of California, Los Angeles",Richard C. Rudolph East Asian Library,Academic,Chinese,Image,Manuscript,History,Education ,Scholarship,http://digital2.library.ucla.edu/Search.do?keyWord=China&selectedProjects=206,1646,1910,1646-1910,"Yu-shan Han (1899-1983) taught at the History Department, UCLA (1941 to 1966). The collection consists of 24 histories of academies in China published between 1684-1910, a printed text of the Diamond Sutra (1798), a set of original woodblocks for the Diamond Sutra, imperial examination papers (1646-1904), imperial edicts, and manuscript scrolls.","Westholme Avenue, Westwood, Los Angeles, Los Angeles County, California, 90095, United States of America",34.07087766,-118.44685
UCLA East Asian Archaeology Corona Satellite Images Collection,"University of California, Los Angeles",UCLA Library Special Collections,Academic,,Image,Map,Geography,Poltical History,Archaeology,https://digital.library.ucla.edu/catalog/fkbcg200zz-89112,1960,1979,1960-1979,"A collection of declassified satellite images of major cultural regions in China. These images are from the United States Corona Satellite program, which was a reconnaissance imaging program that focused on photographing the Soviet Union and China Flight missions span from the early 1960s to the middle 1970s. These images were obtained from USGS by Dr. Li Min with the support of a UCLA Office of Instructional Development teaching enhancement grant for designing and teaching the class ""Archaeological Landscapes of China"" in Anthropology and Asian Languages and Cultures.",,,
Chinese Cultural Revolution Posters,"University of California, San Diego",East Asian Collection,Academic,Chinese,Image,Poster ,History,Poltical History,"Propaganda, Colonialism, Anti-Imperialism ",https://library.ucsd.edu/dc/collection/bb67250839,1966,1989,1966-1989,"A collection of propaganda posters created by various Chinese agencies, 1968-1989. ","9500 Gilman Dr, La Jolla, CA 92093",32.88155369,-117.2374964
Committee of Concerned Asian Scholars Friendship Delegations,"University of California, San Diego",East Asian Collection,Academic,"Chinese, English",Image,Photograph  ,History,Poltical History,"Vietnam War, Foreign Relations",https://library.ucsd.edu/dc/collection/bb12319849,1971,1972,1971-1972,"This collection includes photographs contributed by members of the 1971 and 1972 delegations of Committee of Concerned Asian Scholars. Delegates took photos of places and people from a great variety of angles, providing a lens through which to understand a young China and its people during the middle of the Cultural Revolution. ","9500 Gilman Dr, La Jolla, CA 92093",32.88155369,-117.2374964
Late 19th-and early 20th-century Asian Citites,University of Chicago,Map Collection,Academic,"Chinese, English",Image,Map,History,Geography,Urban,https://www.lib.uchicago.edu/e/collections/maps/asian-cities/,1851,1910,1851-1910,This collection includes late 19th- and early 20th-century sheet maps of Asian (or partly Asian) cities that are held at the University of Chicago Library's Map Collection.,"5801, South Ellis Avenue, Woodlawn, Chicago, Cook County, Illinois, 60637, United States of America",41.788584,-87.598681
Chinese Pamphlets,University of Colorado Boulder,Norlin Library/Center for Library Research,Academic,"Chinese, English ",Image,"Pamphlet, Postcard, Magazine",Politics,Poltical History,"Education, Foreign Relations",https://dds.crl.edu/search/collection/1,1947,1954,1947-1954,"Mass education materials published in Hong Kong and in Mainland China, particularly Shanghai, in the years 1947-1954. These cartoon books, pamphlets, postcards and magazines, on topics such as foreign threats to Chinese security, Chinese relations with the Soviet Union, industrial and agricultural production, and marriage reform, were produced by both Kuomintang (Nationalist) and Gongchantang (Communist) supporters.","1720 Pleasant St, Boulder, CO 80309",40.008717,-105.2729727
Digital Collection in Asian Studies: A catalog of Chinese Bronzes,University of Florida,George A. Smathers Library,Academic,Chinese,Image,Manuscript,History,Art,Bronze,https://ufdc.ufl.edu/UF00076868/00001,-1766,907,-1766-907," A catalog of Chinese bronzes"" is a grant funded project to digitize a 24-volume set of ""Qin ding xi Qing gu jian"" with ""Qian lu"" included. This is a catalog of Chinese bronzes comprised of detailed illustrations, inscriptions, and descriptions for over 1,500 bronze tools, utilitarian objects, and ceremonial vessels. The bronzes documented in this set were created and utilized during the Shang, Zhou, Han, and Tang Dynasties. ","Hillman Library, 3960, Forbes Avenue, Central Oakland, Pittsburghh, Allegheny County, Pennsylvania, 15260, United States of America",21.30745305,-157.8109887
Lian Huan Hua Collection,University of Hawaii,Hamilton Library,Academic,Chinese,Image,"Drawing, Book",Art,Literature ,"Education, Entertainment ",https://digital.library.manoa.hawaii.edu/collections/show/58,1971,1976,1971-1976,"Lian Huan Hua literally means ""linked serial pictures."" They are pocket sized picture-story books first published by a Shanghai publisher in the 1920s. The Library has collected more than 150 titles of lian huan hua that were published mostly during the Cultural Revolution, particularly between 1971-1976, when the publication of lian huan hua was rare and difficult at that time.","Lower Campus, Woodlawn Drive, Manoa, Honolulu, Honolulu County, Hawaii, 96848, United States of America",21.30745305,-157.8109887
Shackford Collection of Photographs of China,University of Hawaii,"Hamilton Library, Digital Collections",Academic,,Image,Photograph,History,"Personal Life, Culture","Landscape, Southern China",https://digital.library.manoa.hawaii.edu/collections/show/57,1920,1935,1920-1935,"These photographs were taken during the late 1920s and early 1930s by John B. Shackford during his travels and tenure as an English teacher in southern China.The titles of the photos are taken from Shackford's original hand-written notes identifying the pictures. However, in some cases, the writing is illegible. If you can help identify a place or name, we welcome your comments.","Lower Campus, Woodlawn Drive, Manoa, Honolulu, Honolulu County, Hawaii, 96848, United States of America",21.30745305,-157.8109887
Treasures from the University of Hawai'i at Manoa Library,University of Hawaii,"Hamilton Library, Digital Collections, Rare Books",Academic,"English, Chinese",Image,"Photograph, Manuscript, Map, Record",History,"Art, Literature, Geography, Culture",Hawai'i War Records,https://digital.library.manoa.hawaii.edu/collections/show/55,1586,1949,1586-1949,"Photographs and descriptions of rare books, historical documents, and photographs, letters written by Hawaii's monarchs, poignant messages from AJA servicemen during World War II, journals, prints, drawings, maps, posters, and fine examples of book design are included","Lower Campus, Woodlawn Drive, Manoa, Honolulu, Honolulu County, Hawaii, 96848, United States of America",21.30745305,-157.8109887
President E. James General Correspondence,University of Illinois Urbana-Champaign,Illinois Library,Academic,English ,Image,Correspondence,History,Poltical History,Foreign Relations,https://digital.library.illinois.edu/collections/f722e3a0-3b8a-0132-3325-0050569601ca-c,1908,1918,1908-1918,"President E. James General Correspondence (Digital Surrogates), 1908, 1912-1918, contains digitized typewritten letters, speeches, handwritten letters, telegrams, and event programs, related primarily to the visit of the Chinese ambassador to campus and his speech in the 1908 commencement ceremony, students sent to the University by the Chinese government, the Chinese Students' Alliance, a proposal for sending and Educational Mission to China; as well as relating to the Crocker Land Expedition and the contribution of the University to its realization. Relevant correspondents include President Edward James, Chinese Ambassador Wu Ting-Fang, President Woodrow Wilson, W. Elmer Ekblaw, and Edmund Otis Hovey (American Museum of Natural History, New York City).","2028, North Prospect Avenue, Kenwood, Champaign, Champaign County, Illinois, 61822, United States of America",40.106996,-88.2432856
Chinese Film and Theater Collection,University of Iowa,East Asian Collections,Academic,English,Text,"Book, Article ",History,Art ,"Film, Theater","https://search.lib.uiowa.edu/primo-explore/search?query=any,contains,Chinese%20Film%20and%20Theatre%20Collection&search_scope=default_scope&vid=01IOWA&mfacet=tlevel,include,open_access,1&conVoc=false",1920,2021,1920-2021,"The Chinese Film and Theatre Collection includes Chinese film and theatre titles in various formats. It has more than 1300 titles covering Chinese films and theatres, dated back as early as the 1920s. It is located in Media Services Center, Main Library.",,,
Chinese Papercuts,University of Michigan,University Library Digital Library Production Service,Academic,English,Text,"Book, Article ",History,Propaganda ,Cultural Revolution,http://quod.lib.umich.edu/c/ccs1ic,1966,1976,1966-1976,The Center for Chinese Studies at the University of Michigan possesses a stunning collection of rare propaganda papercuts from the Cultural Revolution--a period of massive political upheaval in China that began in 1966 and lasted about a decade.,"Hillman Library, 3960, Forbes Avenue, Central Oakland, Pittsburghh, Allegheny County, Pennsylvania, 15260, United States of America",42.276428,-83.73805
Digitized Selections from the George and Marion Blydenburgh Papers,University of Michigan,Bentley Historical Library,Academic,English,Image,"Photograph, Newspaper, Correspondence",History,Personal Life,"Missionary, Nanking, Hospital",https://quod.lib.umich.edu/b/blydenburgh/index.html,1920,1998,1920-1998,"Missionaries to China, 1920-1931; George T. Blydenburgh was the superintendent of a new hospital in Nanchang, Jiangxi Province. Correspondence to family members describing daily life, family matters, and news of the hospital's progress; photographs, newspaper clippings, and glass lantern slides documenting the Blydenburgh family's experiences.","Hillman Library, 3960, Forbes Avenue, Central Oakland, Pittsburghh, Allegheny County, Pennsylvania, 15260, United States of America",42.276428,-83.73805
Pioneers of Chinese Dance,University of Michigan,Asia Library,Academic,English,Image,Photograph,Art,"History, Personal Life",Dance,http://quod.lib.umich.edu/d/dance1ic,1940,1999,1940-1999,"The exhibition introduces modern Chinese dance history through issues of ethnicity, nation, gender, and class. It tells the stories of individual dancers and choreographers, exploring the relationships among dance, popular media, and global exchange during a time when China and the United States had little direct cultural contact.","Hillman Library, 3960, Forbes Avenue, Central Oakland, Pittsburghh, Allegheny County, Pennsylvania, 15260, United States of America",42.276428,-83.73805
Sakaha: A Journal of manchu Studies,University of Michigan,Center for Chinese Studies,Academic,"English, Chinese",Text,"Web Archive, Article",History,Literature,Machu Studies ,http://www.saksaha.org/,1996,2020,1996-2020,"Saksaha: A Journal of Manchu Studies is the journal of the Manchu Studies Group. Its purpose is to advance and promote informed scholarship on all aspects of Manchu studies, including (but not limited to) history, literature, linguistics, philology, anthropology, religious studies, art history, folklore, material culture, and cultural studies. Since 1996, it has been the only journal specifically devoted to Manchu Studies in a European language.","Hillman Library, 3960, Forbes Avenue, Central Oakland, Pittsburgh, Allegheny County, Pennsylvania, 15260, United States of America",42.276428,-83.73805
Annual and Quarterly Reports of YMCA International Work in China,University of Minnesota,"University of Minnesota Libraries, Kautz Family YMCA Archives",Academic,English,Image,Report,History,Poltical History,Foregn Relations,https://umedia.lib.umn.edu/search?facets%5Bcollection_name_s%5D%5B%5D=Annual+and+Quarterly+Reports+of+YMCA+International+Work+in+China,1905,1925,1905-1925,Annual and Quarterly Reports of YMCA International Work in China,"University Of Minnesota, 14650, Audrey Avenue, UMore Park, Rich Valley, Rosemount, Dakota County, Minnesota, 55068, United States of America",44.7361751,-93.07035149
Jesuit Manuscripts Relating to China,University of Minnesota,"University of Minnesota Libraries, James Ford Bell Library",Academic,French,Image,Manuscript,History,Religion,"Missionary, Jesuit",https://umedia.lib.umn.edu/search?facets%5Bcollection_name_s%5D%5B%5D=Jesuit+Manuscripts+Relating+to+China,1725,1732,1725-1732,A collection of Jesuit Manuscripts Relating to China spanning from 1725 to 1732. ,"University Of Minnesota, 14650, Audrey Avenue, UMore Park, Rich Valley, Rosemount, Dakota County, Minnesota, 55068, United States of America",44.7361751,-93.07035149
Records of YMCA International Work in Hong Kong,University of Minnesota,"University of Minnesota Libraries, Kautz Family YMCA Archives",Academic,"English, Chinese",Image,Correspondence,History,Poltical History,"Hong Kong, Foreign Relations",https://umedia.lib.umn.edu/search?facets%5Bcollection_name_s%5D%5B%5D=Records+of+YMCA+International+Work+in+Hong+Kong,1912,1990,1912-1990,A collection of records from the YMCA International Work in Hong Kong spanning form 1912 to 1990. ,"University Of Minnesota, 14650, Audrey Avenue, UMore Park, Rich Valley, Rosemount, Dakota County, Minnesota, 55068, United States of America",44.7361751,-93.07035149
"Chinese Catholic-themed Paintings from Xinxiang, Henan Province",University of Notre Dame,Hesburgh Libraries,Academic,Chinese,Image,Painting,Religion,Art,Catholicism ,https://collections.library.nd.edu/c9dfb1b9e1/chinese-catholic-themed-paintings-from-xinxiang-henan-province-1939-1941,1899,1963,1899-1963,"A digital exhibit of thirty prints, made between 1939 and 1941 by Fu Jen Catholic University of Peking (CUP), from the original paintings that were commissioned by Rev. Thomas Megan,S.V.D., Prefect Apostolic of Xinxiang, Henan Province, and painted by Wang Suda, an artist trained at Fu Jen CUP. Wang's signature appears on twelve prints. The prints were a gift of Grailville, a facility of the Grail in the US (Loveland, Ohio).
The prints are presented in three sub-sets: 1. The Old and New Testaments; 2. The Sacraments; and 3. The Ten Commandments.","284 Hesburgh Library, Notre Dame, IN 46556",41.7025302,-86.2362909
ChinaVine,University of Oregon,University of Oregon Libraries,Academic,,Image,,History,,,https://oregondigital.org/sets/chinavine,1980,2019,1980-2019,"ChinaVine's mission is to educate children, youth, and adults about China's cultural heritage. This mission is primarily achieved through ChinaVine.org and the ChinaVine Digital Archive (CVDA). CVDA is a collection of materials interpreting China's cultural heritage and is largely associated with fieldwork conducted in China by ChinaVine Scholars. This archive supports, and extends, the materials available on ChinaVine.org.","Agate Alley, College Hill, Eugene, Lane County, Oregon, 97403, United States of America",44.039472,-123.0706592
e-Asia Digital Library Collection,University of Oregon,Digital Library,Academic,,Image,,Politics,,,https://oregondigital.org/sets/easia?q=&search_field=all_fields,1720,1999,1720-1999,"The e-Asia project (2000-2011) was funded by the University of Oregon Libraries through the generosity of Nissho Iwai under the leadership of Robert Felsing, East Asian Bibliographer. By building a collection of digitized e-books and a database of full text web resources, e-Asia strove to contribute to the research and scholarship of East Asia.","Agate Alley, College Hill, Eugene, Lane County, Oregon, 97403, United States of America",44.039472,-123.0706592
China's Cultural Revolution in Memories: The CR/10 Project,University of Pittsburgh,East Asian Library,Academic,"Chinese, English ",Video,Oral History,Politics,Poltical History,"Great Revolution, Communist Party",http://culturalrevolution.pitt.edu/,1966,1976,1966-1976,"CR/10 (Cultural Revolution: 10) is an experimental oral history project. It aims to neutrally collect ordinary people’s authentic memories and impressions of China's Great Proletarian Cultural Revolution, which lasted 10 years, from 1966 to 1976.","Hillman Library, 3960, Forbes Avenue, Central Oakland, Pittsburghh, Allegheny County, Pennsylvania, 15260, United States of America",40.44246075,-79.95405367
Chinese Land Records,University of Pittsburgh,East Asian Library,Academic,Chinese ,Image,Record ,History,Economic History,Land Ownership ,https://digital.library.pitt.edu/collection/chinese-land-records,1948,1979,1948-1979,"The collection of Chinese Land Records at University Library System, University of Pittsburghh include land deeds, property trade documents, possession draw documents, tax bills, etc. It includes 220 pieces that span over three hundred years from the Ming Dynasty (1368-1644) to mid-twentieth century. The majority of them are from Fujian Province and several are from other provinces.","Hillman Library, 3960, Forbes Avenue, Central Oakland, Pittsburghh, Allegheny County, Pennsylvania, 15260, United States of America",40.44246075,-79.95405367
Chinese Marriage Documents,University of Pittsburgh,East Asian Library,Academic,"Chinese, English ",Image,Document,History,"Economic History, Political History","Marriage, Divorce",https://digital.library.pitt.edu/collection/chinese-marriage-documents,1909,1997,1909-1997,"This collection contains marriage documents from 1909 to 1997, including marriage certificates, wedding and engagement invitations, child bride agreements, uxorilocal marriage documents, remarriage agreements, divorce certificates and documents of marriage law. These marriage documents reflect the situations and transitions of marriage from the Qing Dynasty (1644 ? 1911) to Republican China (1911-1949), and to the PRC period. They are precious and important primary sources to study the history of marriage in China and its relationship with Chinese economic and political evolution. ","Hillman Library, 3960, Forbes Avenue, Central Oakland, Pittsburghh, Allegheny County, Pennsylvania, 15260, United States of America",40.44246075,-79.95405367
Chinese Overseas Student Newsletters,University of Pittsburgh,East Asian Library,Academic,Chinese,Image,Newspaper,Chinese Overseas,"History, Economic History, Poltical History",Foreign Relations,https://digital.library.pitt.edu/collection/chinese-overseas-student-newsletters,1963,1998,1963-1998,"ULS holds the largest collection of campus newsletters of overseas Chinese students, which was donated to the East Asian Library by various anonymous donors in the past decades. The contents are very rich and colorful, reflecting the Chinese overseas students' life on campus, their enthusiasm and participation in community activities off campus, their literary and artistic creations to enrich extra-curriculum life, and their thoughts on and involvement in social, economic and political issues in domestic and international affairs in 60s and 70s of the 20th Century, such as P.R. China?s entry into the United Nations, the establishment of diplomatic relations between PR. ","Hillman Library, 3960, Forbes Avenue, Central Oakland, Pittsburghh, Allegheny County, Pennsylvania, 15260, United States of America",40.44246075,-79.95405367
Chinese Political Prisoner Photograph Collection,University of Pittsburgh,East Asian Library,Academic,French,Image,Photograph,History,Poltical History,"Shanghai, Political Prisoners",https://digital.library.pitt.edu/collection/chinese-political-prisoner-photograph-collection,1924,1946,1924-1946,The collection includes 104 photographs of Chinese political prisoners (all males) taken between 1924 and 1946. Each of the photographs is 2 x 1 inches in size and has information handwritten on the back?usually the French form of the prisoner?s name and one or more dates relating to the individual?s incarceration.,"Hillman Library, 3960, Forbes Avenue, Central Oakland, Pittsburghh, Allegheny County, Pennsylvania, 15260, United States of America",40.44246075,-79.95405367
Contemporary Chinese Village Gazetteer Data,University of Pittsburgh,East Asian Library,Academic,Chinese,Image,Periodical ,History,"Demography, Economic History, Geography",Rural History,https://chinesevillagedata.library.pitt.edu/index.html,1949,2020,1949-2020,"In 2018, the East Asian Library of the University of Pittsburghh Library System (ULS) proposed the Contemporary Chinese Village Gazetteer Data (CCVG Data) project, with the goal of creating an open dataset consisting of data selected from the ULS collection of Chinese village gazetteers. Village gazetteers record statistical data on individual villages, covering the years from 1949 to the present showing the history and development of Chinese villages (the village is the most basic administrative unit in China). The CCVG Data project, the first of its kind, offers scholars a dataset based on the ULS East Asian Library?s growing collection of Chinese village gazetteers, which currently numbers over 2,500.","Hillman Library, 3960, Forbes Avenue, Central Oakland, Pittsburghh, Allegheny County, Pennsylvania, 15260, United States of America",40.44246075,-79.95405367
Szeming Sze Papers,University of Pittsburgh,East Asian Library,Academic,English,Image,"Correspondece, Document, Manuscript, Photograph",History,Science,World Health Organization,https://digital.library.pitt.edu/collection/szeming-sze-papers,1944,1987,1944-1987,"The Szeming Sze Papers contain a variety of documents relating to the creation of the World Health Organization (WHO). These include correspondence, Dr. Sze's personal diaries from the 1945 UN Conference and 1946 International Health Organization conference, official conference documents, some documents with handwritten notes by Dr. Sze and his colleagues, photographs, and one VHS tape. There are also copies of Dr. Sze's personal memoirs, as well as publications from the different conferences. ","Hillman Library, 3960, Forbes Avenue, Central Oakland, Pittsburghh, Allegheny County, Pennsylvania, 15260, United States of America",40.44246075,-79.95405367
Pai Hsien-Yung Collection,University of Santa Barbra,Alexandria Digital Research Library,Academic,"Chinese, English ",Image,Manuscript,Literature,"Film, Theater","Short Story,  Pai Hsien-yung",https://alexandria.ucsb.edu/collections/f3dz0cq4,1937,2021,1937-Present,"The manuscript collection of Pai Hsien-yung includes short stories in “Taipei people/???” and their English translations, “New Yorkers/???”, the novel “Crystal boys/??”, and several essays. All the manuscripts were written between 1967-1999. Three short stories in “Taipei people/???” are missing, including “The Eternal Snow Beauty/??????”, “A touch of green/???”, and “Wandering in the garden, waking From the dream/????”. They were lost during Prof. Pai’s move from his old residence to his current one. The English translation is typed on letter-sized paper marked up with comments and notes from translators, the editor, and the author. The most complete manuscripts are for the novel “Crystal boys/??”, including first draft, second draft, and final draft in their entirety from the first word to the last. In addition, there are several drafts for various chapters in the book. The essay collection includes pieces on a variety of subjects such as Chinese literature, stage and film adaptations of his works, and AIDS.",,,
"Ailing Zhang (Eileen Chang) Papers, 1919-1994",University of Southern California,East Asian Library,Academic,"Chinese, English ",Image,"Manuscript, Correspondence, Photograph, Essay, Speech",Literature,Personal Life,Eileen Chang,http://digitallibrary.usc.edu/cdm/landingpage/collection/p15799coll92,1919,1994,1919-1994,"It consist of six boxes of correspondence (primarily with literary critic Dr. C.T. Hsia), manuscripts (such as The Sing-Song Girls of Shanghai, Chang’s English translation of the Chinese novel Hai Shang Hua), newspaper clippings and journal articles, photographs, essays, articles, and written speeches. While the collection includes some of her early Shanghai publications, the majority of the materials relate to her life and ongoing works after she immigrated to the United States in 1955. The strength of the collection is found within the correspondence as this series chronicles Chang’s life and career in the United States, primarily her professional relationship with Dr. C.T. Hsia. ","Doheny Library, 1st Floor,, Los Angeles, CA 90089",34.02027737,-118.2837259
China Society of Southern California Collection,University of Southern California,USC Digital Library,Academic,"Chinese, English ",Image,Document,Chinese Overseas,History,China Society in Southern California ,http://digitallibrary.usc.edu/cdm/search/collection/p15799coll32,1935,2005,1935-2005,A collection of documents created by the China Society of Southern California from 1935-2005. ,"Doheny Library, 1st Floor, Los Angeles, CA 90089",34.02027737,-118.2837259
Collection of artifacts excavated in 1992 from a Chinese laundry,University of Southern California,USC Digital Library,Academic,English,Image,Object,Chinese Overseas,History,Archaeological ,"http://digitallibrary.usc.edu/cdm/search/collection/p15799coll73/searchterm/Collection%20of%20artifacts%20excavated%20in%201992%20from%20a%20Chinese%20laundry,%20Santa%20Barbara,%20dating%20from%20about%201885%20to%201905/field/parta/mode/exact/conn/and/order/title",1885,1905,1885-1905,"Collection of artifacts excavated in 1992 from a Chinese laundry, Santa Barbara, dating from about 1885 to 1905 (143 records)","Doheny Library, 1st Floor, Los Angeles, CA 90089",34.02027737,-118.2837259
Collection of old Chinatown artifacts,University of Southern California,USC Digital Library,Academic,English,Image,Object,Chinese Overseas,History,Archaeological ,"http://digitallibrary.usc.edu/cdm/search/collection/p15799coll73/searchterm/Collection%20of%20old%20Chinatown%20artifacts%20excavated%20in%201989-1991%20from%20Union%20Station%20area,%20Los%20Angeles,%20dating%20from%201880%20to%201933/field/parta/mode/exact/conn/and/order/title",1880,1933,1880-1933,"Collection of old Chinatown artifacts excavated in 1989-1991 from Union Station area, Los Angeles, dating from 1880 to 1933 (1,040 records)","Doheny Library, 1st Floor, Los Angeles, CA 90089",34.02027737,-118.2837259
Chinese Text Initiative,University of Virginia,University of Virgina Library,Academic,Chinese,Text,Poem,Literature,History,Translation,https://cti.lib.virginia.edu/index.html,476,1868,476-1868,"300 Tang Poems,  Gu Yao Yan , Shi Jing, Hong Lou Meng, Yu Xuan Ji which have been made available online for public consumption. The creation of these poems span from 476 to 1868. ","155, Rugby Road, Charlottesville, Virginia, 22904-4119, United States of America",38.0364566,-78.5228778
A Visual Sourcebook of Chinese Civilization,University of Washington,n/a,Academic,Chinese,Image,"Photograph, Calligraphy, Document",History,Education,"Technology, Civilization. Performance Art",http://depts.washington.edu/chinaciv/index.htm,-2500,2000,2500 BC-2000,"The goal of this ""visual sourcebook"" is to add to the material teachers can use to help their students understand Chinese history, culture, and society. It was not designed to stand alone; we assume that teachers who use it will also assign a textbook with basic information about Chinese history.",,,
G. William Skinner Map Collection,University of Washington,Tateuchi East Asia Library,Academic,English,Image,Map,Georgraphy,Economic History,Demography,https://content.lib.washington.edu/skinnerweb/index.html,1900,2008,1900-2008,"G. William Skinner (1925-2008) was the dean of sinological anthropology in the West, and a major theorist of family systems and of spatial social science. At his death in 2008 he left a collection of over 700 maps that he and his associates created at his Spatial Systems Laboratory at the University of California, Davis, as well as over 450 rare maps from other sources. The original maps are now part of the University of Washington Libraries Map Collection, and digital versions of these maps are available here.","Prospect Walk, New Haven, New Haven County, Connecticut, 06511, United States of America",47.6553999,-122.309051
International Collections Database,University of Washington,Tateuchi East Asia Library,Academic,,Image,Photograph,History,"Art, Cutlure",Landscape,https://content.lib.washington.edu/icweb/index.html,1870,1930,1870-1930,"The International Collections database showcases some of the visual materials held by the Special Collections Division that focus on collections beyond the scope of the Pacific Northwest region. In this digital collection we feature selected photographs and postcards from Asia and South America including scenes from China, India, Indonesia, the Philippines, and Japan, 1870s-1930s. Represented are historical events, typical street scenes and native people in traditional dress.","Prospect Walk, New Haven, New Haven County, Connecticut, 06511, United States of America",47.6553999,-122.309051
Robert Henry Chandless Photographs of China,University of Washington,Tateuchi East Asia Library,Academic,,Image,Photograph,History,Personal Life,"Shanghai, Robery Henry Chandless",https://content.lib.washington.edu/chandlessweb/index.html,1898,1908,1898-1908,"Although little is known about him, his collection of photographs represent a fascinating travelogue of images of China in the early 1900s. These include candid scenes and tourist views of Peking and Tientsin; foreign legations and private residences of American, British and other diplomatic personnel; the wool industry in Tientsin; and contemporary views of the Boxer Rebellion (1900) including images of the international relief force of soldiers and sailors that came to the aid of the besieged foreign delegations in Peking and elsewhere.

","Prospect Walk, New Haven, New Haven County, Connecticut, 06511, United States of America",47.6553999,-122.309051
China in the 1930s/Tianjin Collections,University of Wisconsin,East Asian Collection,Academic,,Image,Photograph,History,"Sino-Japanese War, 1937-1945; World War, 1939-1945 — China","Landscape, Monument",https://search.library.wisc.edu/search/digital?q=China+in+the+1930s&filter%5Bfacets%5D%5Bcollections_facet~East+Asian+Collection%5D=yes,1930,1939,1930s,"The East Asian Collection includes historical images that present a visual archive of 20th century East Asian cultural heritage. Currently, the collection consists of images that document early 20th century China including the the Sino-Japanese Conflict (1937-1945), a visual history of Buddhist practices and temples in China, and other images of daily life in both rural and urban China. The completed project will be a valuable resource for research into this region and its history.","728 State St #431, Madison, WI 53703",43.0760009,-89.4227925
The Holmes Welch Collection,University of Wisconsin,East Asian Collection,Academic,,Image,Photograph,"Religion, History","Ordination (Buddhism) — China; Tonsure — Hinduism, [Buddhism, etc.]; Buddhism — Rituals — China; Buddhist laymen — China; Taiwan","Buddhism, Tonsure, Hinduism, Rituals",https://search.library.wisc.edu/search/digital?q=Holmes+Welch&filter%5Bfacets%5D%5Bcollections_facet~East+Asian+Collection%5D=yes,1950,1969,1950-1969,"The East Asian Collection includes historical images that present a visual archive of 20th century East Asian cultural heritage. Currently, the collection consists of images that document early 20th century China including the the Sino-Japanese Conflict (1937-1945), a visual history of Buddhist practices and temples in China, and other images of daily life in both rural and urban China. The completed project will be a valuable resource for research into this region and its history.","728 State St #431, Madison, WI 53703",43.0760009,-89.4227925
The William Hervie Dobson Collection,University of Wisconsin,East Asian Collection,Academic,,Image,Photograph,"History, Women Studies, Religion",Every Day Life,"Missionary, Christianity, William Hervie Dobson, Canton, Yeungkong (Yangjiang)",https://search.library.wisc.edu/digital/ADobson,1897,1940,1897-1940,"The William Hervie Dobson collection presents images of the Yeungkong area in southern China, and its residents, as documented by Dr. Williams Hervie Dobson, pioneer missionary, doctor, and lifelong inhabitant of this area.","728 State St #431, Madison, WI 53703",43.0760009,-89.4227925
China Mission History Digital Archive,Whitworth University,Department of History,Academic,,Image,"Photograph, Print ",History,Religion,"Missionary, Catholicism, Protestant",https://digitalcommons.whitworth.edu/cmh_digital_archive/,1900,1947,1900-1947,"The History Department holds original materials and reproductions relevant mainly to the history of Roman Catholic missionary activities in China from the late-imperial era to the present.The images posted on this webpage represent only a small portion of the much larger collection of original and duplicate images held in the ?History of Christianity in China Archive, presently directed by Professor Anthony Clark.","300 W Hawthorne Rd, Spokane, WA 99251",47.7548728,-117.420051
